Project_Name,Project_URL,Project_Hash,Test_id
neurodsp,https://github.com/neurodsp-tools/neurodsp,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,neurodsp/tests/aperiodic/test_dfa.py::test_compute_fluctuations_dfa
neurodsp,https://github.com/neurodsp-tools/neurodsp,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,neurodsp/tests/aperiodic/test_irasa.py::test_fit_irasa
mythx-cli,https://github.com/dmuhs/mythx-cli,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_report.py::test_report_sonar
dcard-spider,https://github.com/leVirve/dcard-spider,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_posts.py::TestPosts::test_with_ids_through__call__
dcard-spider,https://github.com/leVirve/dcard-spider,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_posts.py::TestPosts::test_get_post_bundles
plcx,https://github.com/Cognexa/plcx,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,plcx/tests/comm/test_server.py::test_serverx_error[raise_handler-AttributeError]
plcx,https://github.com/Cognexa/plcx,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,plcx/tests/comm/test_server.py::test_serverx_error[not_arg_handler-TypeError]
pymq,https://github.com/thrau/pymq,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_provider_ipc.py::IpcRpcTest::test_echo_command_function
pymq,https://github.com/thrau/pymq,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_provider_ipc.py::IpcRpcTest::test_void_function
authnzerver,https://github.com/waqasbhatti/authnzerver,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,authnzerver/tests/test_auth_permissions.py::test_role_limits
compilertools,https://github.com/JGoutin/compilertools,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_real_conditions.py::tests_build_distutils
compilertools,https://github.com/JGoutin/compilertools,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_real_conditions.py::tests_build_setuptools
pynoorm,https://github.com/jpeyret/pynoorm,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,pynoorm/tests/test_pynoorm.py::Sqlite3::test_001_select
pynoorm,https://github.com/jpeyret/pynoorm,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,pynoorm/tests/test_pynoorm.py::Sqlite3::test_009_bind_from_rows
napalm,https://github.com/napalm-automation/napalm,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,test/pyiosxr/test_iosxr.py::TestIOSXRDevice::test_channel_acquired_enter_xml_mode
napalm,https://github.com/napalm-automation/napalm,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,test/pyiosxr/test_iosxr.py::TestIOSXRDevice::test_commit_after_other_session_commit
napalm,https://github.com/napalm-automation/napalm,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,test/pyiosxr/test_iosxr.py::TestIOSXRDevice::test_iosxr_bug_0x44318c06
napalm,https://github.com/napalm-automation/napalm,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,test/pyiosxr/test_iosxr.py::TestIOSXRDevice::test_try_to_read_till_timeout
freezegun,https://github.com/spulec/freezegun,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_ticking.py::test_ticking_datetime
freezegun,https://github.com/spulec/freezegun,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_ticking.py::test_ticking_date
freezegun,https://github.com/spulec/freezegun,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_ticking.py::test_ticking_time
freezegun,https://github.com/spulec/freezegun,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_uuid.py::test_uuid1_past
pyTrnsysType,https://github.com/samuelduchesne/pyTrnsysType,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_xml.py::TestTrnsysModel::test_trnsysmodel_repr
torchpwl,https://github.com/PiotrDabkowski/torchpwl,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,torchpwl/pwl_test.py::test_pwl_default_init_response[7-1-MonoPointPWL]
torchpwl,https://github.com/PiotrDabkowski/torchpwl,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,torchpwl/pwl_test.py::test_pwl_is_continous[3-1-PointPWL]
torchpwl,https://github.com/PiotrDabkowski/torchpwl,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,torchpwl/pwl_test.py::test_pwl_is_continous[4-3-PointPWL]
litedb,https://github.com/JonathanVusich/litedb,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_database/test_memory_database_hypothesis.py::TestMemoryDatabase::test_database_zelete
python-openflow,https://github.com/kytos/python-openflow,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/unit/v0x04/test_controller2switch/test_flow_mod.py::TestFlowMod::test_raw_dump_file
feature_engine,https://github.com/solegalli/feature_engine,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_missing_data_imputer.py::test_AddMissingIndicator
Tale,https://github.com/irmen/Tale,6328eb9c0e18debaaa769b7ac0d05a4a472f4746,tests/test_mudobjects.py::TestMudObject::test_basics